연번,업소명,영업자성명,소재지(지번),소재지전화번호,업태명,주취급음식
1,貴信(귀할귀 믿을신) 불고기,장보경,서초동 1302 - 38 1층 101호,02-532-0755,한식,불고기
2,서초동연가,모성배,서초동 1302 - 38 1층 103호,02-544-6235,한식,우거지국밥
3,인근주민 강남본점,이철우,"서초동 1302 - 38 2층,3층 ",02-591-2087,한식,파스타
4,참이맛 감자탕,김옥영 외 1명,서초동 1302 - 44 ,02-3481-3399,한식,감자탕
5,아빠곰탕 강남점,이종혁,서초동 1302 - 2,02-3482-1224,한식,곰탕
6,행복국수 앤 돈까스,조연수,"서초동 1303 - 10 1층 112호, 113호 ",02-534-5572,한식,설렁탕
7,서가앤쿡(주)나인오키드,이진한,서초동 1307 - 4  ,02-3482-0959,경양식,스테이크
8,강남본점,신철호,"서초동 1308 ,1호 201,203,204호 ",02-536-4133,한식,칼국수
9,제주흑다돈 강남직영점,강정호,"서초동 1308 - 15 1,2층 ",02-3482-2090,한식,삼겹살
10,에머이 강남대로점,김미정,"서초동 1308 - 16 102,103,105,107,108,109호",02-534-7174,외국식,쌀국수
11,장꼬방,김현수,서초동 1316 1층 ,02-597-5511,한식,단팥죽
12,주식회사 맛있는이야기 노랑저고리,이승철,서초동 1316 - 29 타임빌딩 601호 ,02-534-5300,한식,노랑정식
13,피제리아하이웨이트립,최영구,서초동 1316 - 30,02-535-8128,경양식,피자
14,㈜이춘복스시강남,이춘복,서초동 1317 1층 2층,02-591-4558,일식,스시
15,메콩타이 강남역점,이현지,서초동 1317 - 13 2층,02-532-2174,외국식,쌀국수
16,레터스(LETTUCE),정재영,서초동 1317 - 20 아라타워 201-1~214-1 일부,02-554-7220,일식,샤브샤브
17,연타발,황숙희,서초동 1317 - 20,02-536-9282,한식,등심
18,강가,이덕형외1,서초동 1320 - 10 삼성전자사옥 지하1층층 ,02-2055-3610,기타,인도요리
19,소만옥,이정주,서초동 1320 - 10 지하1층 ,02-587-9005,한식,갈비탕
20,서초사리원,나성윤,서초동 1321 - 7  ,02-3474-5005,한식,불고기
21,정도전,김영균,서초동 1327 - 13 B101호 일부,02-584-8221,한식,한우가마솥국밥
22,서동한우 강남점,백경희,서초동 1327 - 29 2층,02-3474-9297,한식,한우구이
23,모랑 강남점,김지완,서초동 1328 - 11 대우도씨에빛2 212호,02-521-3980,한식,해물돌솥밥
24,해담채서초본점,김지혜,서초동 1329 - 4 우남빌딩 지하1층,02-597-4997,한식,해산물한정식
25,봉피양,김영환,서초동 1330 1층 103호,02-587-7018,한식,냉면
26,더하누,유준희,"서초동 1330 - 4 아루누보씨티2 101,102,109,111,112,113,114호",02-584-9392,한식,등심
27,됐소 강남,정영석,"서초동 1330 - 15, 2층",02-586-8588,한식,등심(안심)
28,두껍삼 강남직영점,이선종,"서초동 1330 - 16, 1층",02-585-3592,한식,숙성삼겹살
29,초선과여포,이종국,서초동 1330 - 16 201호 ,02-525-9890,중국식,깐쇼새우
30,삼성각,하동욱,서초동 1330 - 18 2층 ,02-598-7779,중국식,전가복
31,조선횟집 서초점,이범택,서초동 1331 - 2 2층,02-587-8865,일식,제철회코스요리
32,백제원서초점,이범택,서초동 1331 - 2 2층(일부),02-587-4433,한식,한우모듬구이
33,온끼,이기영,서초동 1337 101호,02-583-7709,한식,미역국정찬
34,진상샤브샤브,홍인국,서초동 1337 - 3 강남역 푸르지오시티 지하1층 ,02-581-0092,한식,샤브샤브
35,(주)미가미,김상균,서초동 1337 - 32 지하1층 ,02-522-6522,일식,한식
36,삼호복집,장명화,서초동 1338 - 10  ,02-3474-3533,한식,복지리
37,만다린,CUI XIANSHU,서초동 1338 - 10 3층전체 ,02-588-2338,중국식,"해물짬뽕, 찹쌀탕수육"
38,참설농탕,조영대,서초동 1340 1층 ,02-3471-5550,한식,설렁탕
39,남강메기 서초직영점,정현자,서초동 1340 - 2,02-598-6800,한식,메기매운탕
40,듬북담북(뱅뱅점),엄태영,서초동 1340 - 3 (1층) ,02-525-8689,한식,북어국
41,서초버드나무집,이범만,서초동 1340 - 5  ,02-3473-8355,한식,갈비탕
42,육갑식당,김은경,서초동 1340 - 14,02-588-8292,한식,육갑꽃살
43,한국수,김인숙,서초동 1341 - 7 1층,02-568-5972,한식,팔도면요리
44,춘향골 추어탕,이범철,서초동 1342  -7,02-2472-0050,한식,추어탕
45,오곡채(시골보쌈&오곡곤드레),김혜경,서초동 1343 - 7,02-588-2232,한식,보쌈
46,(주)명선헌,최인순,"서초동 1344 - 12 지상1층,지하1층 ",02-587-2942,한식,한정식
47,동해상사(주),전강식,"서초동 1357 - 33 지하1층,1층 ",02-3472-5838,일식,일식
48,한촌설렁탕,박지은,서초동 1359 - 13 (지상1층),02-525-0225,한식,설렁탕
49,황금빛 마을,황순덕,"서초동 1359 - 22, 1층",02-521-4040,한식,한식요리
50,서초복집,노현숙,서초동 1363 - 4 양재빌딩 2층 ,02-581-2362,한식,복지리
51,자인뭉티기,노정아,서초동 1363 - 7 1층,02-597-2158,한식,한우등심
52,청정횟집,이복임,서초동 1363 - 25 B101호,02-581-5886,일식,활어회
53,순남시래기,최효성,서초동 1363 - 25 지하1층 103-1호,02-582-5044,한식,시래기국
54,신가예촌,이유경,서초동 1364 - 3  ,02-3473-8760,한식,"전골,갈비살"
55,예촌,신봉석,"서초동 1364 - 5 (1,2층) ",02-525-0987,한식,한정식
56,진주청국장,박홍전,서초동 1365 - 22  ,02-525-6919,한식,청국장
57,수미관,서준형,서초동 1427 - 5 1층,02-3444-5434,한식,곰탕
58,부일갈비,김종구,서초동 1427 - 6 101호,02-3482-3112,한식,갈비탕
59,장강,권중백,서초동 1431 - 14  ,02-598-9662,중국식,"자장면, 짬뽕 등"
